종목코드,종목명,날짜,시가,고가,저가,종가,거래량,MA5,MA10,MA20
000660,SK하이닉스,2026-01-28,"810,000","854,000","803,000","841,000","6,091,399","782,200원","766,900원","749,400원"
000660,SK하이닉스,2026-01-27,738000,800000,733000,800000,5660198,"765,000원","757,700원",N/A
000660,SK하이닉스,2026-01-26,753000,754000,736000,736000,3133330,"753,000원","751,900원",N/A
000660,SK하이닉스,2026-01-24,"754,000","776,000","744,000","767,000","3,365,043","754,400원","752,100원",N/A
000660,SK하이닉스,2026-01-23,754000,776000,744000,767000,3508272,"753,800원","750,300원",N/A
000660,SK하이닉스,2026-01-22,766000,773000,751000,755000,3545309,"751,600원","748,000원",N/A
000660,SK하이닉스,2026-01-21,729000,756000,728000,740000,5108442,"750,400원","748,100원",N/A
000660,SK하이닉스,2026-01-20,764000,764000,737000,743000,2762369,"750,800원","748,300원",N/A
000660,SK하이닉스,2026-01-19,755000,774000,750000,764000,3392008,"749,800원","746,600원",N/A
000660,SK하이닉스,2026-01-16,751000,763000,747000,756000,3712326,"746,800원","739,800원",N/A
000660,SK하이닉스,2026-01-15,732000,750000,727000,749000,3003414,"744,400원","731,900원",N/A
000660,SK하이닉스,2026-01-14,733000,750000,728000,742000,4885051,"745,800원",N/A,N/A
000660,SK하이닉스,2026-01-13,753000,754000,724000,738000,3771944,"745,800원",N/A,N/A
000660,SK하이닉스,2026-01-12,755000,762000,735000,749000,3329793,"743,400원",N/A,N/A
000660,SK하이닉스,2026-01-09,744000,756000,727000,744000,4343703,"732,800원",N/A,N/A
000660,SK하이닉스,2026-01-08,731000,788000,731000,756000,6496379,"719,400원",N/A,N/A
000660,SK하이닉스,2026-01-07,760000,762000,728000,742000,5693115,N/A,N/A,N/A
000660,SK하이닉스,2026-01-06,690000,727000,671000,726000,4830275,N/A,N/A,N/A
000660,SK하이닉스,2026-01-05,698000,700000,684000,696000,4337511,N/A,N/A,N/A
000660,SK하이닉스,2026-01-02,651000,679000,647000,677000,4181895,N/A,N/A,N/A
